recorded_at,repository,stars,forks,open_items,watchers,views_14d,unique_views_14d,clones_14d,unique_clones_14d
2026-08-22T11:21:12+00:00,undefinted/open-niulai,0,0,3,0,0,0,0,0
2026-08-31T03:23:07+00:00,undefinted/open-niulai,0,0,4,0,19,5,95,41
